cmdline:'/home/user/deepstate/kdl222_cs49.....--no_fork --min_log_level 2', bin:'/home/user/deepstate/kdl222_cs499_sp20/assignment2/starRuler/string_H' inputDir:'/tmp/deepstate_fake_seedav8u1rm3', fuzzStdin:false, mutationsPerRun:6, timeout:10, mutationsMax:0, threadsMax:1
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Size:4787 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4435
Size:18 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4436
Size:521 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4438
Size:18 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4439
Size:3576 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4441
Size:7943 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4452
Size:3030 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4454
Size:8131 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4465
Size:3024 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4467
Size:4811 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4478
Size:3678 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4480
Size:4811 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4491
Size:1044 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4493
Size:4811 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4504
Size:813 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4507
Size:4803 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4518
Size:469 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/14, Tot:0/0/0/348/12/4532
Size:400 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/7, Tot:0/0/0/348/12/4539
Size:5470 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/8, Tot:0/0/0/348/12/4547
Size:447 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4558
Size:1204 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/9, Tot:0/0/0/348/12/4567
Size:425 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/348/12/4573
Size:210 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/348/12/4579
Size:425 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/348/12/4585
Size:528 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4586
Size:494 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4589
Size:5145 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4610
Size:489 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4613
Size:5810 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4634
Size:501 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4637
Size:8192 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4658
Size:391 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/18, Tot:0/0/0/348/12/4676
Size:4880 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4677
Size:574 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4678
Size:4873 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4679
Size:520 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4680
Size:4873 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4681
Size:6 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4682
Size:5152 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4683
Size:4512 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4684
Size:2122 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4685
Size:141 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/8, Tot:0/0/0/348/12/4693
Size:6674 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4694
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4695
Size:6852 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4696
Size:7 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4697
Size:7093 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4698
Size:4745 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4699
Size:3 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4700
Size:3 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4701
Size:4530 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4702
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4703
Size:4724 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4704
Size:102 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4705
Size:4751 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4706
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4707
Size:1771 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4708
Size:4 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4709
Size:1496 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4710
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4711
Size:12 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4712
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4713
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4714
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4715
Size:101 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4716
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4717
Size:2670 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/22, Tot:0/0/0/348/12/4739
Size:53 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4740
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4741
Size:390 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4743
Size:85 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4744
Size:73 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4745
Size:2919 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/15, Tot:0/0/0/348/12/4760
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4761
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4762
Size:5 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4763
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4764
Size:6 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4765
Size:4787 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4767
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4768
Size:699 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/14, Tot:0/0/0/348/12/4782
Size:26 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4783
Size:3576 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4785
Size:7939 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/10, Tot:0/0/0/348/12/4795
Size:3030 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4797
Size:8192 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4808
Size:1870 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4810
Size:4803 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4821
Size:4807 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4832
Size:1044 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/4834
Size:4817 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4845
Size:5255 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4846
Size:4803 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/11, Tot:0/0/0/348/12/4857
Size:376 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/14, Tot:0/0/0/348/12/4871
Size:451 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/348/12/4877
Size:6765 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/5, Tot:0/0/0/348/12/4882
Size:447 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/10, Tot:0/0/0/348/12/4892
Size:1211 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/15, Tot:0/0/0/348/12/4907
Size:425 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/348/12/4913
Size:210 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/4, Tot:0/0/0/348/12/4917
Size:574 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/10, Tot:0/0/0/348/12/4927
Size:528 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/6, Tot:0/0/0/348/12/4933
Size:638 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/16, Tot:0/0/0/348/12/4949
Size:1086 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4970
Size:489 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/3, Tot:0/0/0/348/12/4973
Size:5810 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/4994
Size:501 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/4995
Size:8192 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/21, Tot:0/0/0/348/12/5016
Size:371 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/18, Tot:0/0/0/348/12/5034
Size:4880 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5035
Size:574 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5036
Size:7342 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5037
Size:407 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5038
Size:6 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5039
Size:5152 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5040
Size:3995 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5041
Size:2247 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5042
Size:10 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5043
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5044
Size:10 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5045
Size:7089 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5046
Size:5712 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5047
Size:3 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5048
